gene,Astrocytes,Neuron,Oligodendrocyte Precursor Cell,Newly Formed Oligodendrocyte,Myelinating Oligodendrocytes,Microglia,Endothelial Cells
Gapdh,5.318316841,6.193771743,6.020146573,5.909293086,6.608809243,6.309248961,5.614709844
Gfap,6.974988112,2.560714954,2.655351829,2.070389328,4.193771743,2.786596362,1.807354922
Mbp,0.765534746,3.572889668,8.062855655,14.69140003,16.52688431,7.432959407,-0.514573173
Mag,-1.736965594,-0.514573173,2.292781749,10.74340389,10.96246226,3.887525271,-3.321928095
Mog,-3.321928095,-0.514573173,1.263034406,8.98982022,10.74096128,-0.152003093,-3.321928095
Pdgfra,-3.321928095,3.153805336,9.216745858,6.311067102,-0.514573173,-1.736965594,-1.321928095
Cxcr4,2,5.133399125,1.887525271,-0.152003093,0.678071905,2.981852653,5.933100475
Cxcr7,0.584962501,0,4.791814071,2.40599236,-0.321928095,-0.152003093,5.263034406
Cx3cl1,1.070389328,6.197708158,5.296457407,3.584962501,2.584962501,3.017921908,3.916476644
Cx3cr1,-1.736965594,-0.736965594,5.048759312,0.485426827,1.807354922,8.928074173,-2.321928095
Pcna,4.439623138,4.03562391,5.181897643,4.357552005,4.201633861,5.354028938,5.714245518
Cxcl12,-0.152003093,7.920055055,4.385431037,2.10433666,2.867896464,1.5360529,6.974988112
