gene,Astrocytes,Neuron,Oligodendrocyte Precursor Cell,Newly Formed Oligodendrocyte,Myelinating Oligodendrocytes,Microglia,Endothelial Cells
Cst3,11.68558104,8.745842363,11.29479303,8.350497247,9.35160183,15.57217913,9.492654371
Gm1821,8.877130729,10.05311134,10.41890673,10.27972664,10.31152128,11.15791531,10.85805872
Olig1,6.74819285,4.977279923,10.37742746,9.466994109,8.927777962,2.608809243,-0.514573173
Apoe,11.53303766,7.626439137,10.17017545,7.13442632,7.740792672,11.24156613,7.04220656
Hbb-b1,2.510961919,7.477353527,10.02749137,4.240314329,7.30833903,6.261154673,9.403651186
Tuba1a,8.05039286,10.75003698,9.674721924,10.82670737,9.972118218,7.428778891,9.214561978
Hba-a2,-3.321928095,6.783980414,9.665691217,2.10433666,5.332707934,4.439623138,9.762215916
Tmsb4x,7.569096095,9.618201942,9.501439145,9.518849829,10.31186182,11.91949651,12.8992625
Eef1a1,7.699051844,8.850811922,9.435045131,9.386509204,9.253611152,10.21395476,11.1188762
Cpe,10.7561393,8.851749041,9.317864798,7.253611152,6.841721581,5.501439145,8.140574178
S100a16,6.727920455,3.897240426,9.271696455,8.4325419,7.736740155,2.744161096,7.923624611
Pdgfra,-3.321928095,3.153805336,9.216745858,6.311067102,-0.514573173,-1.736965594,-1.321928095
Tspan7,10.15025502,7.705977902,9.106170317,7.328226119,7.057450272,7.723831566,3.247927513
Cspg5,8.214319121,5.725195817,9.096715154,6.283551423,3.485426827,2.584962501,0.584962501
Bcan,9.653024179,5.548436625,9.094077686,9.084542674,6.221103725,3.560714954,0.765534746
Actb,8.652127928,8.33136485,9.055011227,8.627898616,8.242697768,10.94836723,8.994919089
Psap,9.344739746,8.949534933,9.054197294,8.905086099,8.432124273,10.79952448,7.905086099
Serpine2,7.888134388,5.004501392,8.857047916,6.301953395,3.378511623,6.714245518,7.135452784
Tspan3,7.651769271,7.437127844,8.8166637,8.327777171,7.958842675,5.827819025,6.253611152
Actg1,8.800252806,9.018756559,8.784634846,8.744833837,7.900866808,10.12670447,9.570804438
Gpr17,-2.321928095,2.584962501,8.774128144,9.85315358,6.057450272,0,-2.321928095
Cd81,8.581577216,7.068240861,8.762215916,9.783980414,9.781359714,9.728260673,7.942514505
S100a1,5.652486495,2.963474124,8.745842363,8.273795599,6.211401637,4.300123725,4.867896464
Gnas,7.55228484,8.944272818,8.722807531,8.409815196,8.33315535,8.400879436,8.823048729
Ckb,8.371123201,6.897240426,8.716648008,7.612499946,7.673132372,8.009548727,3.321928095
Atp5b,7.740792672,8.585338154,8.714245518,8.731319031,8.103287808,8.11997861,8.503825738
Ptprz1,9.99703831,5.517275693,8.708049252,6.562242424,1.432959407,0.765534746,-0.321928095
Rpl8,6.969242604,8.111657346,8.700439718,8.417008587,8.161887682,10.0598852,9.820498107
Gpm6a,8.528258743,8.587964989,8.685449638,6.517275693,4.572889668,2.292781749,2.378511623
Itm2b,8.431288654,7.818262608,8.685099172,7.874059203,8.305149746,9.919310284,8.644937806
Fth1,7.680886921,8.168421411,8.662134275,10.15253837,12.33228835,11.64336018,11.65194861
Cd9,8.036173613,4.705977902,8.615445725,9.635173947,7.87897051,8.322829498,4.666756592
Gpr37l1,8.524737587,3.807354922,8.608069968,7.871597266,5.730639956,3.62058641,0.137503524
Eef2,7.186857067,8.682994584,8.605849867,8.795065583,8.786269628,9.726047819,9.608439653
Slc22a17,7.152791852,7.903279342,8.5980525,8.515699838,8.044940491,4.711494907,2.700439718
Ctsd,7.536830005,6.394033895,8.55688919,7.490249211,7.324630615,13.23605905,7.034523875
Scd2,9.793278158,7.203592714,8.54689446,10.11374217,10.36457243,5.321928095,6.141596278
Dbi,8.8899602,5.956521363,8.520815086,7.118941073,7.086401646,4.336283388,6.613236955
Matn4,-1,2.350497247,8.511752654,7.34251919,4.185866545,-0.514573173,-2.321928095
Ywhae,7.433794059,8.434211203,8.494255587,8.544578117,7.911092332,7.190812368,7.883254231
Sparcl1,10.78414405,6.223036338,8.483815777,4.930737338,5.251719093,4.357552005,9.290249291
Calr,7.76420813,7.292781749,8.483009577,8.176921112,7.020146573,8.762215916,8.325080544
C1ql1,-0.736965594,3.053111336,8.459431619,6.515699838,0.765534746,-0.514573173,-3.321928095
Ubc,9.163649676,8.146695948,8.452035274,8.648177796,9.250298418,11.56262404,9.859845344
Rps9,6.694880193,7.880195729,8.424166289,8.30241045,8.702172685,10.49445561,9.981567282
Cfl1,7.163901214,8.151777655,8.415741768,8.641329262,8.879889522,8.870981124,8.659282393
Hsp90ab1,7.381110294,8.794740761,8.415319248,8.647458426,8.575161033,8.239837169,9.078417702
Pllp,-1.321928095,1.925999419,8.40173285,8.866969778,8.634084983,0.678071905,5.004501392
Hspa5,9.411722822,7.333602628,8.368506462,7.923030298,5.832890014,8.829088444,8.35974956
Gm5506,7.602884409,6.77478706,8.364134655,7.705977902,6.09592442,7.394891366,7.833522636
Ptn,9.829881264,6.334496768,8.356231863,7.233619677,7.658925511,2.263034406,6.482202926
